motion name,class num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
hand_rec,2,五指并拢,五指张开,,,,,,,,,,,,
hand_show,5,捏指,握拳,五指张开,半握,五指并拢,,,,,,,,,
hand_hold,2,手指伸直,手部握拳,,,,,,,,,,,,
